date,tweet,user
2020-03-10 23:30:05+00:00,"I went shopping for my office today, we were out of toilet paper. I went to 4 stores and finally found 2 packs. I told my employees they might want to bring a personal role from home cause I ain't going on another safari trip for toilet paper.",LynnNickey
2020-09-03 14:44:40+00:00,"12 outlets are arranged with enough space to accommodate both large and small plugs, so you can connect as many of your devices as possible with ease.",AnkerOfficial
2020-03-10 22:56:29+00:00,"Went out shopping at HyVee. Was proud to see #LFK is listening to directions-only shelves cleared were some hand soaps &amp; disinfecting wipes. I asked A (5 yo) what she thought we might need if we couldn’t get to the store for awhile. Answer: Coffee, mom, you always need more.",burginam
2020-03-10 22:47:09+00:00,So we just came back from grocery shopping at Food4Less in Coachella. It was packed full of people &amp; the power went out for just a minute while we were waiting in line. Also a few signal lights were out on the drive back.,COACHELLAEVENTS
2020-03-10 22:42:12+00:00,"It's really stupid Craig. We went to Costco a few weeks ago for a couple of things. People were in a frenzy,ramming shopping carts and being rude. I came out so tired and pissed off. I'm on medicine that suppresses my immune system. People need to get a clue,I'm not panicked.",SherrySwinders2
2020-03-10 22:15:28+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” ",GlobalKitchener
2020-03-10 22:15:03+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/eYGIBXo",Global_Guelph
2020-03-10 22:13:19+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/WcAveu9",GlobalBarrie
2020-03-10 22:11:52+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/mQ5PkDF",global_ottawa
2020-03-10 22:11:13+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/HzSUlN0",CHEXNewswatch
2020-03-10 22:05:44+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/Ae1ghvc",am640
2020-03-10 22:05:01+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/jjiFMXw",AM980News
2020-03-10 22:04:15+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/ImYSYv1",GlobalDurham
2020-03-10 22:03:58+00:00,"“We went out to Piazza di Spagna and Via del Corso, which is a major shopping area, and it was deserted. Nobody was there. Nobody in shops.” https://trib.al/365eQHK",globalnewsto
2020-03-10 21:33:40+00:00,"Omfg ikr! I went out to buy some as we do online shopping, but we couldn’t buy any toilet roll because they were bloody sold out! And guess what, so was the shop I went to! I mean look at this picture! ",EmilyIsMyName_x
2020-03-10 21:27:41+00:00,When we went grocery shopping on Saturday the store we went to was all out of tomatoes too. Every kind. I was mad bc I really wanted BLT's.,MMcupps
2020-03-10 20:44:56+00:00,"When I was a nipper, that's where we'd always park in school hols when me and my mum went down to Hanley for shopping. Stands had long gone by then, but you could still make out the shape of the terracing",mott_73
2020-03-10 20:41:19+00:00,"""What we’re doing for the providers is getting them out of the payment collection space, which frankly, is not the job role that anyone went to medical school to get into."" - MDsave CEO Paul Ketchel, speaking to @PYMNTS about bringing the shopping cart model to healthcare. ",MDsave
2020-03-10 20:23:09+00:00,"I had someone leave their shopping cart with their barely out of the womb child (less than a year old for sure) at the cash desk in the bookstore I worked in while she went Christmas shopping the mall... We did end up calling CPS, but the idea still just floors me.",DeviantPanda
2020-03-10 20:07:00+00:00,I have an 18 year old son with Autism. He has auditory sensitivities to the PA announcements in grocery and department stores. It was so bad he plugged his ears to block them out when we went shopping. Adults stared at him when he did that and I could not believe their ignorance.,pamt47
2020-03-10 19:38:29+00:00,"100% spot on. My ex was horrific. Narc. He once went NUTS at me driving 2 a shopping mall so that when we got there I was a wreck. He then span the car in car park, yelled at me 2 get out in front of people &amp; through window said I was nuts...ex 4 a reason. They need help. V ill",CrownsnT
2020-03-10 18:52:01+00:00,Went out food shopping and bought a £10 candle loooooool we move ,shom_xo
2020-09-03 18:26:48+00:00,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",LenovoLegion
2020-03-10 18:25:38+00:00,Or...hear me out...get a shower head attached to a hose. I still have shit tickets from the last time we went shopping last month but that shower head is another alternative,spoogitywoogums
2020-03-10 18:13:16+00:00,"We were out shopping yesterday and @Keithmacgregor2 said 'shall we get loo paper's ( there was lots available), I replied 'We will not! Not until we need it. I won't behave like those idiots!' There was loads in the shops today when I went out for lunch.",MicheleSeren
2020-03-10 17:40:04+00:00,"You guys. Yesterday, my son went on a shopping spree with my credit card info, thus freezing my account for fraudulent activity. I found out when my card declined for my copay at a Dr appt I'd waited 2 mos for this morning. We leave for a trip today for my husband's bday tmrw. ",thetattoowife
2020-03-10 16:39:07+00:00,We went shopping and my mom bought a bunch of toilet paper because she was worried we wouldn’t be able to get any because it’s getting sold out.,Patriots20
2020-03-10 16:10:38+00:00,"So I watched a lady in the store put 4 towels in her shopping cart and then whip out a can of Lysol and spray them before she even went to the register to pay for them. This is the world we live in now , sad",jimchines77
2020-03-10 15:43:51+00:00,"Went to the neelsvile shopping center Starbucks without seeing anyone I know. It isn’t often we make it out unscathed. I, friends, am one of the rare survivors. Stay safe. Stay aware. Avoid high school at all costs.",theatremissy11
2020-03-10 12:28:26+00:00,"Yeah, we were out of those two when my wife went grocery shopping 2 days ago.. They were out of those, hand soap, items used to make hand sanitizer, bleach, laundry detergent.. it's like come on people.. tide is not going to save you from the Coronavirus",SkolGriswold
2020-03-10 12:14:44+00:00,We actually went coffin shopping the other day. I picked out the pretty red one ,emmalovestrump
2020-03-10 11:41:57+00:00,"so my parents went to the police to ask and we can’t move for groceries shopping either, they said we have markets here too (the ones we have here are freaking expensive sigh) so they can’t get out to go shopping",tinyhseok
2020-03-10 10:42:50+00:00,"We tried a click and collect for a third time at #sainsbury in Burnham. But again had to wait so long, my other half went into Sainsburys and did a small shop and we were still waiting for someone to come out with the shopping. Much slower than Asda and Tescos.",bzfxn6
2020-03-10 07:41:09+00:00,In bloody Wagin . Gladstone was out of poo tickets when we went shopping the other day but I expected that,AdamCoffeyNT
2020-03-10 04:47:48+00:00,Went grocery shopping earlier with my parents and we went to get paper towels and they were sold out! And the toilet paper too! Like umm excuse me why???? shouldn’t y’all be buying soap instead,joanna_corona
2020-03-10 04:30:14+00:00,I just put out vlog 30!! I tried a shamrock shake for the first time! (Life changing!) And we went on a shopping spree! https://youtu.be/K2RN31a9iso,itsalexanson
2020-03-10 02:40:11+00:00,"Thank you Amy. We are having a good Monday. I went out for a nice walk earlier. Then, we went out and did some grocery shopping. Aparently, there is no toilet paper at our Safeway at all the shelves were empty. I didnt think it was this bad out here but I guess it is ",4CherBear67
2020-03-10 01:23:30+00:00,Went shopping today. Lots of out of stocks. But plenty of Easter candy. Guess we will live on Peeps for the next few weeks.,bettygirl1239
2020-03-10 00:10:47+00:00,"Got out of work, picked up my son, went grocery shopping, came home, threw him in the shower.. started making dinner, changed him and had dinner and now we are in bed ... my life really has changed.. And I’m more than grateful for it ",jackiezunim
2020-03-09 23:38:55+00:00,Rainy day with the kids out of school so we went shopping. If anyone in Joplin has the Coronavirus I’m sure my kids now have it. #musttouchEVERYTHING,tdc_land_cattle
2020-03-09 23:14:55+00:00,I dated a dude for a couple months and whenever we went shopping he’d tell me what I could and couldn’t buy so one time I told him to fuck off and bought the flannel I wanted and I still wear it almost every day. And I threw out all the girly shit he made me buy,keizur_maddy
2020-03-09 22:48:43+00:00,Went out to lunch with my granddaughters had a great time. The Restaurant which is usually packed was empty. Then went to the mall empty. #Nordstrom again hardly anyone there. We still did some shopping Very strange feeling. ,warmshadow
2020-03-09 22:32:36+00:00,"ok to all the people panic buying, its so stupid. my mom went shopping for toliet paper cuz we legit were almost out and theirs NOTHING DFNSJZDNF",icecreamunity
2020-08-27 17:39:57+00:00,#UnlockTheOpen with @Chase and make more of that energy felt at the @USOpen even as you watch from home. #ad,pitchfork
2020-03-09 22:04:27+00:00,No kidding we went and did our shopping Saturday per usual and Costco was out of toilet paper. ,Geminigems
2020-03-09 21:56:26+00:00,I know we are all freaking out about COVID-19 but for some reason the only thing I can bring myself to be freaked out about is the fact that I should’ve gotten more nutella the last time I went grocery shopping,kiradove_
2020-03-09 21:37:38+00:00,"Yeah, we went grocery shopping yesterday. There TP was totally gone on the shelves! We can't figure out why? To make masks, maybe? ",IrisD236
2020-03-09 20:56:28+00:00,"On Saturday we went to the Cultural Centre &amp; toured their museum, did some shopping, then went to Pho Hoai for dinner. So, so, so good! There weren't a lot of people out and about - granted it was chilly that day but still... ",kbabs65
2020-03-09 19:42:09+00:00,I’m pissed because we are actually out of Lysol wipes and when we went shopping I thought we had some at home but now I’ll never get them ,Distance_means
2020-03-09 19:21:28+00:00,"We went grocery shopping today. Soap supplies were low, but not sold out. I didn't see any hand sanitizer, but I don't really even know what aisle it is in. (Not my favorite product) Toilet paper supplies were low, but not so low that they were running out.",AmericanLora
2020-03-09 19:06:07+00:00,Och that must’ve been before we went this afternoon. Never seen it so busy on a Tuesday afternoon and so many spaces on the shelves. A woman putting her shopping through wearing leather gloves cause she ran out of hand sanitiser. Mad doesn’t cover it. C xx ,thepennycott
2020-03-09 18:38:40+00:00,Went out for lunch @Starbucks had hot chocolate. My cheese toasty was horrible so went to @baynes for a sausage roll with milk....thanks to Chloe. We also went to @Tesco for some shopping then went to #rysthpark to feed the ducks/swan then got the bus home.,tickledpinkgr93
2020-03-09 18:17:35+00:00,Oh Bob I had him wore out before we went shopping it works a treat getting him to get the wallet out lmao ,naughtyminx48
2020-03-09 17:50:05+00:00,"9Mar14:Well, we went to the Play again last night &amp; as we were out great part of the morning too, shopping &amp; seeing the Indian Juggles, I am very glad to be quiet now till dressing time. ",JaneAustenKent
2020-03-09 16:37:49+00:00,"None of that except stock market is happening here We went to music events, out to restaurants &amp;bars, out shopping There’s no shortage of water, bleach wipes, toilet paper We put off getting new recliner only becuz we rescued a tiny kitten &amp;he’s still climbing everything ",DoctorWerner44
2020-03-09 04:15:45+00:00,Last night we went grocery shopping at Walmart. When we first entered the store a group of white teens were walking out with toilet paper and the alarm went off. The greeter who checks receipts paid no mind to them as they walked off.,ayajambalaya
2020-03-09 03:22:23+00:00,"we went to the laundromat + cafe, did the shopping, and now I'm out for at least the next two days",_budgie
2020-03-09 02:30:58+00:00,"I went grocery shopping for the first time by myself, we out being adults or whatever",kaylaalzaga
2020-03-09 02:06:48+00:00,We just like ran out of toilet paper like normal human beings and went shopping and found that there was none in my whole city.... haha,khristienp
2020-03-09 01:45:14+00:00,"Today, I went out to Ikebukuro for shopping with my wife. Due to the coronavirus, it was not crowded with more shoppers than usual Sunday. I bought shoes and jeans at UNIQLO at Tobu department store. Then we enjoyed lunch at a restaurant in Seibu department store.",matsu0999
2020-03-09 00:41:14+00:00,Kayleigh and I were shopping today and we didn’t see what each other picked out and when we went to show each other what we were trying on we picked the same dress ,cstoneburner18
2020-03-09 00:13:17+00:00,Went grocery shopping today.check out lady was looking at the toilet paper roll and said she wanted to know where it was made. She said the Chinese made this virus to attack our country because they hate Trump. We seriously have some dumb the people in this world. ,humgbrd111
2020-03-09 00:12:39+00:00,So l was expecting empty shelves when l went shopping this morning.. Instead it was business as usual..with 2 for 1 offer on handwash.. and plenty of toilet roll. Yeah..we're not freaking out over here.. Sure it'll be grand.,IrishCarol05
2020-03-08 22:12:12+00:00,"Yes we all got the flu shot. This dry hack is not the flu. It’s most likely the croupe. But we don’t know and can’t find out. I live one house away from a nursing home. We went shopping last week, to strings, to sports, had play dates etc. We live a few miles from Lake O.",NoelRamey7
2020-09-09 18:27:35+00:00,"We always see these rich men on magazines and in the news, but now we're taking a look at the wives behind these very wealthy men...",ALOTdotcom
2020-03-08 21:54:13+00:00,"This month alone: -1000’s of ppl filled sports arenas -1000’s of ppl went out -1000’s of ppl went shopping -1000’s of parents watched their kids at sporting events So MILLIONS of ppl interacted with MILLIONS of other ppl, and we had a FEW cases of #coronavirus FEAR MONGERING",pizdapalace
2020-03-08 21:51:58+00:00,"Volunteered, went for a hike, grocery shopping, my friends fiancé came over to look at our kitchen wall to help us figure out if we have a leak or not (no leak thankfully just residual damage from our hot water heater eating shit).. &amp;all while I was on call. What a good Sunday.",Chelsteezee
2020-03-08 20:37:10+00:00,"We are ok..spent today over moms doing some things plus gave her a shower, blew out her hair even put some blush on. She felt pretty. Im tired also went shopping for her bday presents. Her bday is Wed.",sugarfreeNJ
2020-03-08 20:35:46+00:00,Went out shopping earlier (we genuinely needed some toilet roll as had none here ) and NONE in Tesco! What the feck! Thankfully B&amp;M had some haha. Mental.,lisamedwell
2020-03-08 19:52:57+00:00,I live in San Antonio TX where we have a quarantine site and we accidentally released a woman who turned out to be positive. She checked in to a Holiday Inn and then went shopping at North Star Mall. 1/1,GarciaGirl03
2020-03-08 19:27:12+00:00,"Funny, cause we went down to the megastore, ironically enough for a new toilet seat, and the shelves were cleaned out of TP. But, a small shopping market round the corner was normal, (even had bamboo bum paper on sale!).",paciffreepress
2020-03-08 19:04:56+00:00,"Ugh we actually need TP (store was out when I last went shopping, stupidly I was like ""why?""), and I'm concerned this is gonna be the reality I'm faced with.",PjPerez
2020-03-08 18:09:17+00:00,Yeah my uncle said when he went shopping too was plenty in. We do same big bag of pasta to last month and big pack of loo paper to last us too so don’t have to cart Isaac out to shop every other day but wouldn’t dream of buying multiple offs just because ,Miss_Hello
2020-03-08 17:10:29+00:00,"Bruh, went shopping at Walmart last night and they were entirely out of water.... due to nut cases panicking about the coronavirus... y’all need to chill we’re not getting quarantined anytime soon smhhh",THEREAL_ANTHOHH
2020-03-08 16:48:25+00:00,Neighbor update Everyone went shopping and filled the SUV. Costco completely out of toilet paper. We are having a cookout tonight because the weather is nice and showing solidarity. Local Trumper went golfing and not concerned. Should be interesting night. #COVID19,HappiestYogi
2020-03-08 16:29:30+00:00,"Thank you for kind advices, my dear. I am trying my best. Gosh, we woke up to some rumours about it this morning and I swear people went on shopping sprees and almost all essentials like desinfectants, masks and gloves are out of stock.",moonverus
2020-03-08 16:27:36+00:00,"We went shopping today. I kid you not, 7 out of 10 shoppers had bog roll, that's a lot of shitting!",hotmeowser
2020-03-08 16:20:49+00:00,I moved to a new place on January 2nd and my room has been very cold and not mine and basic and I hated it. So today we went out shopping and it's coming together so much. I now start to feel like home. Tomorrow I have to print pictures and put them up as well,dorakiss04
2020-03-08 16:17:48+00:00,My husband and I went to costco yesterday to do some shopping and every cart had at least 2-3 things of toilet tissue and paper towel in them. I'm not even gonna start with the water bottles. We bought 1 of each bec they were definently going to be sold out ,InsanelyBookish
2020-03-08 16:02:32+00:00,"Went shopping earlier. Legit needed loo rolls as part of shop. There were absolute none left. Asked an assistant if more were in warehouse, she laughed and said, ""yeah but we aren't allowed to put them out until Wed now. Management policy"". Wut. #cornoravirus",AVinylFrontier
2020-03-08 15:46:42+00:00,Soooo PROUD of Emma. She’s gone since Tuesday pottying on the toilet with NO accidents. Yesterday we went to the big town to go out for dinner do a little shopping then we went to visit family. About 7 hours long NOT ONE ACCIDENT!!!!,mom2six2
2020-03-08 14:48:58+00:00,ryans so over protective about his car and we’ve just went shopping in my car and when we’ve came out he’s left my door lying wide open to the world aye very good,clomcgrath1
2020-03-08 14:34:12+00:00,"So, we went food shopping today. I dont think I've ever chuckled so much upon seeing certain random items being sold out. ",Viowlett
2020-03-08 14:31:43+00:00,"Went shopping yesterday here in LA (I live in the middle part of the county): no hand sanitizer or anti-bacterial soap, anti-bacterial wipes, rubbing alcohol, and very little toilet paper or Kleenex, Fortunately we stocked up last week but man, this is getting out of hand!",MinnieMercury
2020-03-08 12:34:20+00:00,Go out with gf today and we shopping IT stuffs also buying woman day's offer drink... whew its always pure coincidence whenever i went out theres always got offer,xhisa12
2020-09-03 18:26:48+00:00,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",LenovoLegion
2020-03-08 11:58:45+00:00,"I'm glad we live in a sensible area. Went shopping at Walmart each of the last two days and they weren't out of anything. Went garage saleing yesterday, no one even mentioned the coronavirus. People have lost their minds.",CK_1973
2020-03-08 11:43:15+00:00,I used to do it if I bought some when I went shopping thinking we'd run out and we hadn't,mandy4small
2020-03-08 11:34:31+00:00,"Went shopping yesterday and bought our usual 4 pack of loo roll. Pack wouldn’t fit in our shopping bag so I carried it home in my hands. Neighbour saw us and called out ‘ooh are you stockpiling?’, I called back ‘no, we just fancy a shit’ ",Queenkatinka
2020-03-08 10:49:07+00:00,Went 3 times to get toilet roll from Costco because we run out... now they’re only allowing 1 pack per shopper- which is fair because people were buying shopping carts full of toilet roll,FormulaSainz
2020-03-08 09:43:32+00:00,"Apparently the cart didnt work and so he left it to get another one and he and his wife went shopping around for other things BEFORE coming back to his abandoned cart. I had the pleasure of checking them out and they had me throw away their card. ""We wont be coming back""",beepbop_skadoo
2020-03-08 09:22:29+00:00,My wife and I went for out regular shopping run today and the TP aisles at both the local WalMart and Superstore were empty. Not a single roll of TP available at either store of any size or brand. Fortunately we're not completely out yet but people are just being utterly insane.,LazarusMP
2020-03-08 08:52:58+00:00,this bitch @Salomesoria12 is living her best life litchally meeting all the cute artists out there (she fucking went thrift shopping with boy pablo) while we’re staying at home bc of fucking corona SALOME I HATE YOU I HATE YOU,messedupcharlie
2020-03-08 08:27:29+00:00,"The mind boggles with the traits of some people, I went shopping yesterday with a list and actually had toilet roll on it because we were running out and not stockpiling, this is what I came across. Having the shits isn’t even a symptom of this strain of flu. ",floydy3663
2020-03-08 07:56:58+00:00,Yes Kellie. This has gone on too long it’s time we stopped the Chinese residents mailing this stuff overseas #COVIDー19 #auspol PS. I went grocery shopping at local Coles store during the week and they had sold out of toilet paper. Crazy!,Marian_Writer
